tconst	averageRating	numVotes
tt0000835	5.1	92
tt0000836	4.8	41
tt0000837	5.5	10
tt0000840	5.5	260
tt0000841	5.1	32
tt0000843	5.7	10
tt0000844	6.0	9
tt0000845	5.0	10
tt0000847	5.9	8
tt0000848	5.6	13
tt0000851	5.4	11
tt0000852	5.8	173
tt0000853	5.2	10
tt0000854	6.0	417
tt0000855	5.7	9
tt0000857	5.2	8
tt0000858	5.2	8
tt0000860	4.7	33
tt0000861	5.3	13
tt0000862	4.5	8
tt0000864	5.5	13
tt0000866	6.3	7
tt0000870	5.1	14
tt0000871	5.7	63
tt0000873	6.4	7
tt0000874	4.8	11
tt0000875	4.9	9
tt0000877	4.8	55
tt0000878	4.9	123
tt0000880	5.9	39
tt0000882	5.9	151
tt0000884	4.4	7
tt0000886	5.0	24
tt0000887	4.8	27
tt0000890	7.1	14
tt0000891	5.4	28
tt0000892	5.6	41
tt0000893	6.3	23
tt0000895	5.6	152
tt0000896	4.0	6
tt0000897	5.7	34
tt0000898	5.6	8
tt0000900	4.2	6
tt0000901	4.7	7
tt0000902	4.7	6
tt0000904	5.4	84
tt0000905	5.5	6
tt0000907	5.3	6
tt0000908	5.9	13
tt0000910	5.4	8
tt0000911	3.4	9
tt0000912	4.4	37
tt0000916	6.1	48
tt0000919	3.8	6
tt0000920	4.5	6
tt0000921	5.5	8
tt0000922	5.6	79
tt0000924	6.1	130
tt0000928	5.5	71
tt0000929	5.4	34
tt0000930	4.0	6
tt0000932	3.9	7
tt0000933	4.8	21
tt0000934	4.8	8
tt0000935	6.2	68
tt0000936	6.7	63
tt0000938	4.5	148
tt0000939	5.4	9
tt0000941	4.6	15
tt0000942	6.1	838
tt0000944	4.8	6
tt0000945	4.6	52
tt0000946	4.5	54
tt0000950	4.8	9
tt0000954	4.3	6
tt0000956	6.8	6
tt0000957	6.3	40
tt0000958	5.0	6
tt0000960	4.7	239
tt0000961	8.2	13
tt0000962	4.7	6
tt0000964	5.3	7
tt0000966	5.7	296
tt0000967	5.4	7
tt0000969	6.4	12
tt0000970	5.9	61
tt0000971	6.3	130
tt0000972	5.8	61
tt0000974	5.1	33
tt0000975	5.7	7
tt0000976	4.7	9
tt0000978	6.8	5
tt0000979	5.3	19
tt0000981	5.5	32
tt0000986	5.1	89
tt0000987	7.8	6
tt0000988	4.3	10
tt0000989	4.6	23
tt0000990	6.0	46
tt0000992	4.8	9
tt0000995	7.4	8
tt0000996	4.3	6
tt0000997	6.7	7
tt0000998	5.6	12
tt0000999	5.4	5
tt0001000	5.3	25
tt0001001	5.5	88
tt0001002	4.9	74
tt0001005	4.6	5
tt0001008	5.7	10
tt0001009	6.4	859
tt0001010	4.8	8
tt0001011	4.7	6
tt0001013	5.9	320
tt0001014	5.1	88
tt0001015	4.6	10
tt0001016	5.6	89
tt0001025	6.7	7
tt0001027	6.0	6
tt0001028	4.3	9
tt0001029	5.3	32
tt0001032	6.0	756
tt0001033	5.1	8
tt0001035	5.1	22
tt0001036	3.5	8
tt0001037	3.9	13
tt0001038	4.0	11
tt0001041	5.1	20
tt0001044	5.6	82
tt0001045	5.6	9
tt0001046	4.5	6
tt0001049	3.2	8
tt0001050	5.2	60
tt0001052	4.8	6
tt0001053	6.2	6
tt0001054	5.8	16
tt0001058	5.3	12
tt0001060	4.8	6
tt0001061	6.4	17
tt0001062	6.2	1096
tt0001063	5.8	6
tt0001064	4.8	20
tt0001065	4.8	6
tt0001066	4.3	7
tt0001067	5.9	16
tt0001071	6.5	6
tt0001072	5.6	289
tt0001074	6.0	11
tt0001075	4.7	6
tt0001076	5.5	11
tt0001077	5.2	5
tt0001078	5.4	30
tt0001079	4.3	7
tt0001083	5.0	104
tt0001084	5.1	141
tt0001085	5.7	6
tt0001086	6.3	6
tt0001088	5.2	52
tt0001089	8.3	19
tt0001090	7.0	6
tt0001091	5.5	158
tt0001092	5.6	25
tt0001094	4.3	6
tt0001095	3.3	6
tt0001098	5.9	9
tt0001099	5.2	6
tt0001101	5.2	13
tt0001103	5.6	12
tt0001104	5.0	12
tt0001105	6.4	798
tt0001106	6.1	87
tt0001107	6.2	39
